X,Y
312185.966,2770794.447
301457.632,2775123.348
305539.507,2764675.014
301465.658,2772594.558
301841.487,2768988.771
303408.117,2770520.577
300614.909,2767943.386
307581.383,2764258.713
303839.103,2767961.67
301505.257,2774839.979
303547.193,2768888.403
299610.013,2776876.996
299855.209,2769209.768
304148.157,2765392.269
301871.321,2770751.968
301795.076,2778483.115
308651.422,2769595.367
301486.542,2781034.029
302916.972,2777303.284
301577.315,2771068.179
305579.708,2769412.609
306371.073,2767984.705
301615.646,2781055.217
306374.504,2767986.576
306822.209,2771375.161
306822.209,2771375.161
304916.509,2770412.05
304725.536,2764605.74
302927.51,2779510.792
306364.524,2767988.343
306478.15,2779717.33
306463.224,2779714.085
303571.749,2776630.406
303571.749,2776630.406
306912.93,2764788.336
312272.023,2770903.732
309057.184,2764386.136
302655.375,2778490.87
302464.592,2771051.751
301472.68,2774468.832
301472.68,2774468.832
312301.073,2773545.867
305531.807,2774540.292
304729.147,2764600.222
304939.123,2770634.182
310561.478,2775899.045
302446.52,2771305.148
298294.578,2777592.535
303951.882,2779838.085
302187.753,2774079.834
301506.58,2774972.006
302188.731,2774061.07
300774.073,2770454.327
309057.184,2764386.136
312028.032,2773986.541
306339.637,2775674.473
300684.215,2779508.837
300460.868,2779733.722
302420.396,2771060.768
306822.209,2771375.161
304245.039,2765320.348
301594.318,2777754.369
304678.028,2766267.933
302625.811,2778496.097
299616.655,2776870.838
301841.487,2768988.771
302447.472,2771308.8
304939.123,2770634.182
301384.637,2771861.983
306074.341,2768597.594
301498.907,2774837.333
307336.687,2771491.528
301389.358,2772577.934
303848.71,2770127.625
308375.75,2769316.294
301465.658,2772594.558
306237.539,2768667.053
302362.271,2769104.384
300445.215,2779599.105
312407.874,2771983.345
303648.332,2772660.111
299541.732,2776943.92
303215.728,2773432.485
302319.197,2778091.583
301639.616,2777270.551
305579.708,2769412.609
305576.85,2769422.769
308702.814,2773417.853
301407.291,2775885.113
302581.98,2772143.125
302581.98,2772143.125
308408.103,2769504.638
300621.178,2779514.525
298225.436,2777591.625
306361.891,2775603.757
300928.588,2780116.734
300928.588,2780116.734
301604.234,2778887.162
302904.084,2777317.137
303851.987,2767960.314
300928.588,2780116.734
304939.564,2770666.674
300934.017,2779894.448
304678.028,2766267.933
302655.375,2778490.87
310747.057,2774928.126
309177.403,2771335.603
302350.4,2771731.258
301835.041,2781276.198
303411.038,2773213.215
306373.466,2767985.302
308313.614,2770953.366
302921.244,2779517.772
304107.026,2765466.386
309111.649,2775182.627
301615.666,2770824.956
306702.541,2771659.081
308025.979,2771380.689
301500.494,2774919.089
303044.76,2768353.816
301348.621,2779334.633
306687.746,2769136.003
306687.746,2769136.003
302246.602,2775828.707
300165.867,2780320.173
304957.675,2769283.489
306213.856,2769207.806
301389.358,2772577.934
300989.745,2770348.411
303215.57,2773419.785
305810.781,2769313.567
305810.781,2769313.567
300607.583,2768003.433
305101.176,2770324.703
308374.23,2771870.363
302659.939,2772637.355
306141.093,2771050.712
301663.153,2780982.156
303109.204,2779283.821
305438.314,2766349.282
298681.276,2781059.133
305362.819,2772397.082
306318.917,2769367.875
306318.917,2769367.875
305223.702,2771692.126
302594.411,2778500.131
302581.98,2772144.505
305440.855,2766357.22
301931.066,2774117.083
298224.202,2777594.529
302925.336,2769588.627
299541.732,2776943.92
311939.4,2771128.716
302911.281,2769253.503
305034.477,2771391.495
303009.064,2769103.85
303110.053,2768963.554
309895.401,2775202.791
309893.496,2775205.013
308535.638,2771308.768
308535.638,2771308.768
304405.904,2766894.152
305034.477,2771391.495
304405.904,2766894.152
309714.424,2773612.815
309714.424,2773612.815
302732.689,2773447.809
309647.247,2774898.673
309647.247,2774898.673
301516.104,2774848.181
311780.443,2772838.67
304885.249,2771442.055
302731.933,2773443.933
306064.525,2781656.327
303249.922,2778103.161
303514.868,2770437.642
308353.205,2769316.294
303391.512,2773213.745
306359.497,2767983.977
306373.466,2767985.302
306821.339,2771394.634
301442.64,2772637.184
300296.399,2768566.143
301290.488,2776137.983
301921.836,2778233.203
304939.123,2770634.182
304547.915,2772514.624
302054.138,2781527.289
303830.966,2767849.11
302246.602,2775828.707
304107.026,2765466.386
302569.666,2771580.913
302406.875,2778477.899
309168.16,2771348.981
302317.61,2778093.7
302917.97,2777316.449
303648.332,2772660.111
309572.913,2771386.066
301657.396,2777092.116
305571.812,2770306.464
304616.115,2766369.401
301055.303,2779654.735
299497.058,2776979.885
301519.279,2774793.412
310391.746,2775304.568
301392.731,2774414.394
308154.287,2775239.198
304904.087,2768824.832
307272.309,2764768.466
306689.366,2765244.678
309867.01,2770507.063
302943.209,2779520.056
302408.078,2778447.837
304652.099,2766365.036
302289.117,2769405.084
307215.303,2768613.276
298490.848,2777597.482
302403.638,2778432.814
307926.54,2771846.658
308279.805,2771504.504
303017.027,2773402.371
303514.868,2770437.642
304822.024,2768275.388
302192.617,2769352.466
312047.99,2772673.432
312047.99,2772673.432
305592.132,2770308.687
306876.238,2770475.765
306876.238,2770475.765
301475.442,2770959.025
305109.068,2770384.418
303599.118,2776633.996
312047.99,2772673.432
302417.776,2778502.45
312650.03,2774359.657
301985.885,2776056.701
304542.198,2772511.832
312645.003,2774367.595
302672.959,2770186.503
304755.773,2766508.937
301476.923,2770770.68
301476.923,2770770.68
303514.868,2770437.642
302183.417,2769365.866
299514.307,2776960.479
304939.123,2770634.182
309168.7,2771362.538
302771.206,2770074.88
309996.275,2773308.676
298163.174,2777597.257
311197.616,2774987.054
302680.232,2773028.232
300701.9,2775812.53
300138.33,2776347.836
300138.33,2776347.836
306854.171,2769760.212
303514.868,2770437.642
304505.741,2772512.141
305455.278,2768623.022
305412.951,2769535.014
302867.38,2779441.042
309477.614,2773229.894
306734.901,2764578.45
308787.718,2775284.07
306348.385,2767978.157
304119.726,2765479.616
301954.465,2775978.119
301405.704,2775891.523
303730.895,2772657.312
310842.925,2772955.877
307267.793,2768645.32
306531.894,2770926.489
301416.78,2778309.269
299418.819,2777051.089
303100.969,2776644.395
301051.81,2779651.877
302672.959,2770186.503
302319.197,2778091.583
309157.229,2771381.462
312045.628,2772662.257
303354.851,2773746.402
301392.731,2774414.394
303828.773,2778134.164
305571.495,2770311.386
302246.602,2775828.707
304863.193,2768821.784
303348.236,2773744.021
303348.236,2773744.021
