V1,V2,APP_offtime,CB_DA,CE_DA,NPURP,APP_NAME,NPURP_label,ADDR,Time_interval,Time_interval_label,APP_Name_label,Double_label
121.6244835,25.04211973,1,2014/6/16,2014/6/30,市政建設,交工處,2,研究院路2段與研究院路2段61巷(中研院門口)(中研里),14,3,6,7
121.5183328,25.08160949,1,2014/6/2,2014/12/4,管線單位需求-建設需求,台電北區,3,延平北路5段(1號前~224巷口),185,5,2,2
121.5583691,24.98713632,1,2014/6/11,2014/6/11,搶修-自來水漏水,自來水南區,1,試院路4巷11號旁,0,1,3,11
121.5183163,25.05877956,1,2014/3/8,2014/6/29,市政建設,台電市區,2,涼州街(迪化街1段口至延平北路2段口)及安西街110號前至涼州街口,113,5,2,2
121.5219034,25.02621373,1,2014/5/19,2014/6/23,民生需求-新建房屋,台電市區,4,和平西路2段16巷2號前至16巷口,35,4,2,2
121.5374866,25.03998743,1,2014/5/5,2014/6/25,新設,台電市區,3,金山南路1段30巷7號至11號前,51,4,2,2
121.5097108,25.0168182,1,2013/7/15,2014/8/4,管線改善,自來水西區,3,萬大路以東、青年路以西、萬大路423巷以南、水源路以北,385,5,3,3
121.5785769,24.98330073,1,2014/7/9,2014/7/22,道路維護施工,交工處,5,木新路2段與木新路2段79巷口、景興路與景興路46巷口第二處,13,3,6,6
121.5416561,25.01687033,1,2014/3/3,2014/9/11,管線單位需求-既設管線改善,自來水南區,3,"新生南路2段(信義路2段至和平東路1段),新生南路3段(和平東路1段至羅斯福路4段)單雙號側",192,5,3,3
121.5187941,25.07904962,1,2014/6/2,2014/12/4,管線單位需求-建設需求,台電北區,3,延平北路5段(1號前~224巷口),185,5,2,2
121.5388004,25.02524731,0,2014/6/2,2014/6/13,管線單位需求-既設管線改善,自來水南區,3,青田街12巷4號旁至20號旁,11,3,3,3
121.5000817,25.0975041,0,2014/5/15,2014/9/18,其他(配合路平工程汰換),自來水北區,5,延平北路7段自11巷口起至7段260巷口止,126,5,3,6
121.5022303,25.02827669,0,2013/11/5,2015/7/6,新設、人手孔新設,衛工處,6,和平西路3段以南、環河南路以東、環河南路2段以西、西藏路以北及雙園街76巷周圍地區,608,5,5,5
121.5446158,24.99366275,0,2013/7/22,2014/6/30,其他,自來水南區,3,"羅斯福路6段以西,景福街以北,羅斯福路6段142巷以南等區塊",343,5,3,3
121.5222664,25.04213072,0,2014/6/23,2014/6/23,搶修,自來水西區,1,武昌街與懷寧街口(黎明里),0,1,3,11
121.5218066,25.11192928,0,2014/6/23,2014/6/25,民生需求-新建房屋,電信士林,4,石牌路1段166巷24號前至致遠一路2段112巷18號前,2,2,4,4
121.5894056,25.03143774,0,2014/6/15,2014/10/14,市政建設,自來水東區,2,松山路650巷松山路640號至650巷、656巷及附近巷道,121,5,3,3
121.5188446,25.13496924,0,2014/6/23,2014/6/25,搶修,自來水陽明,1,光明路中山路交口(近銀星橋),2,2,3,11
121.5328845,25.1012384,0,2014/6/23,2014/6/25,民生需求-新建房屋,自來水陽明,4,中山北路6段37-3號前及中山北路6段35巷24、28、38號前(德行里),2,2,3,3
121.5193649,25.04499567,0,2014/6/23,2014/6/23,搶修,自來水西區,1,博愛路2號(光復里),0,1,3,11
121.5589609,25.02990542,0,2014/6/23,2014/6/27,新設,電信南區,3,安和路2段32巷21號旁一帶,4,3,4,4
121.5667431,25.01698477,0,2014/3/29,2014/10/19,管線單位需求-建設需求,自來水工總,3,和平東路3段433號及445號前2處工作井及447號前銜接處,204,5,3,3
121.5201257,25.13515603,0,2014/6/23,2014/6/23,搶修,自來水陽明,1,幽雅路溫泉路口(林泉里),0,1,3,11
121.5667772,25.01700154,0,2014/3/29,2014/10/19,管線單位需求-建設需求,自來水工總,3,和平東路3段433號及445號前2處工作井及447號前銜接處,204,5,3,3
121.5713546,25.04757624,0,2014/6/23,2014/6/25,民生需求-舊有用戶,電信東區,4,八德路4段181巷20-4號至245巷32弄口附近,2,2,4,4
121.5713546,25.04757624,0,2014/6/23,2014/6/25,民生需求-舊有用戶,電信東區,4,八德路4段181巷20-4號至245巷32弄口附近,2,2,4,4
121.5524298,25.03895284,0,2014/6/23,2014/6/25,管線單位需求-既設管線改善,電信北區,3,復興南路1段179號，177巷10弄，忠孝東路4段40巷13號及大安路1段84巷16號，22號一帶,2,2,4,4
121.5503036,24.98654096,0,2014/6/9,2014/6/25,檢修,台電南區,3,景興路與木柵路1段口,16,3,2,2
121.5330754,25.12116702,0,2014/1/13,2014/7/20,管線改善,陽明山瓦斯,3,石牌路2段322號旁至石牌路2段353號旁(永和里)(永欣里),188,5,1,1
121.5666784,25.01701786,0,2014/3/29,2014/10/19,管線單位需求-建設需求,自來水工總,3,和平東路3段433號及445號前2處工作井及447號前銜接處,204,5,3,3
121.5682926,25.1229008,0,2014/6/23,2014/7/27,民生需求-舊有用戶,電信士林,4,永公路245巷34弄172號148號46.41.35號9.6.4.3.及34弄口號號共修管10處,34,4,4,4
121.5681444,25.12287207,0,2014/6/23,2014/7/27,民生需求-舊有用戶,電信士林,4,永公路245巷34弄172號148號46.41.35號9.6.4.3.及34弄口號號共修管10處,34,4,4,4
121.5393496,25.0951403,0,2014/6/23,2014/6/25,民生需求-新建房屋,電信士林,4,志成街22巷15弄17號旁與雨農路7巷口,2,2,4,4
121.5393496,25.0951403,0,2014/6/23,2014/6/25,民生需求-新建房屋,電信士林,4,志成街22巷15弄17號旁與雨農路7巷口,2,2,4,4
121.571978,24.98810772,0,2014/6/23,2014/6/23,搶修,自來水南區,1,秀明路1段19巷5弄2.4號旁,0,1,3,11
121.6253413,25.04310274,0,2014/6/23,2014/6/25,市政建設,公園處,2,福山街2巷15號對面,2,2,6,7
121.5932003,24.98439354,0,2014/6/23,2014/6/26,民生需求-新建房屋,台電南區,4,政大一街246號前,3,3,2,2
121.5303371,25.11196903,0,2013/11/25,2014/7/31,管線改善,自來水陽明,3,"懷德街北投區懷德街以東,明德路以西以南及東陽街以北等一帶管網改善工程",248,5,3,3
121.5281572,25.04481635,0,2014/6/23,2014/8/4,管線單位需求-既設管線改善,台電市區,3,中山北路1段18號前至26巷口,42,4,2,2
121.5184571,25.07570008,0,2014/6/23,2014/8/15,民生需求-新建房屋,台電市區,4,延平北路4段294巷(環河北路2段至敦煌路間)及環河北路2段371號旁,53,4,2,2
121.5184571,25.07570008,0,2014/6/23,2014/8/15,民生需求-新建房屋,台電市區,4,延平北路4段294巷(環河北路2段至敦煌路間)及環河北路2段371號旁,53,4,2,2
121.6257503,25.06695406,0,2014/6/23,2014/6/23,搶修,欣湖天然氣,1,康樂街48巷14-1號前,0,1,1,9
121.558696,25.0761992,0,2014/6/23,2014/6/23,搶修,自來水東區,1,明水路397巷7弄60號旁,0,1,3,11
121.5503392,24.98649101,0,2014/6/9,2014/6/25,檢修,台電南區,3,景興路與木柵路1段口,16,3,2,2
121.5526629,25.04095738,0,2014/6/9,2014/6/27,其他(汰舊換新),大台北瓦斯,3,忠孝東路4段17巷內(大安路一段52巷至復興南路135巷),18,3,1,1
121.608613,25.08826963,0,2014/6/9,2014/6/24,管線單位需求-建設需求,台灣智慧光網,3,大湖山莊街202巷與大湖山莊街交叉口(共11處過溝蓋版)-詳附件,15,3,4,4
121.5279879,25.04710464,0,2014/6/23,2014/6/24,市政建設,自來水北區,2,民安里華陰街24巷1弄1號旁,1,2,3,3
121.4870656,25.10400731,0,2014/5/20,2014/9/30,管線單位需求-既設管線改善,自來水北區,3,延平北路8段及9段(自8段2巷口起至9段145號旁止),133,5,3,3
121.5432463,25.12408488,0,2014/6/23,2014/6/23,搶修,自來水陽明,1,中山北路7段232巷與190巷交口(天和里),0,1,3,11
121.5255303,25.07216332,0,2014/6/23,2014/6/24,市政建設,公園處,2,哈密街45巷口至1弄口,1,2,6,7
121.5188123,25.0802415,0,2014/6/2,2014/12/4,管線單位需求-建設需求,台電北區,3,延平北路5段(1號前~224巷口),185,5,2,2
121.5255392,25.07199389,0,2014/6/23,2014/6/24,市政建設,公園處,2,哈密街45巷口至1弄口,1,2,6,7
121.5113817,25.03948146,0,2014/6/23,2014/6/23,搶修,自來水西區,1,內江街126巷口(新起里),0,1,3,11
121.5932003,24.98439354,0,2014/6/23,2014/6/26,民生需求-新建房屋,台電南區,4,政大一街246號前,3,3,2,2
121.6230641,25.07094373,0,2014/6/23,2014/6/23,搶修,自來水東區,1,東湖路113巷95弄38號(安湖里),0,1,3,11
121.5667508,25.08640802,0,2014/6/23,2014/6/25,管線單位需求-既設管線改善,電信東區,3,內湖路1段47巷30號附近,2,2,4,4
121.5108304,25.1212277,0,2014/6/23,2014/6/26,民生需求-舊有用戶,電信士林,4,崇仁路1段155巷12號及157巷28.10.11號與159巷6.4號158巷4.1.6號及公館路402號共修管共12處,3,3,4,4
121.508624,25.12326555,0,2014/6/9,2014/7/8,其他(側溝更新),水利處,6,中央南路2段31號~39巷口,29,4,5,5
121.5277195,25.04489932,0,2014/6/23,2014/8/4,管線單位需求-既設管線改善,台電市區,3,中山北路1段18號前至26巷口,42,4,2,2
121.5713546,25.04757624,0,2014/6/23,2014/6/25,民生需求-舊有用戶,電信東區,4,八德路4段181巷20-4號至245巷32弄口附近,2,2,4,4
121.5455727,24.99300993,0,2013/7/22,2014/6/30,其他,自來水南區,3,"羅斯福路6段以西,景福街以北,羅斯福路6段142巷以南等區塊",343,5,3,3
121.5197881,25.10535727,0,2014/5/26,2014/9/18,管線單位需求-既設管線改善,自來水工總,3,承德路6段洲美街至文林北路,115,5,3,3
121.5498998,25.00154888,0,2014/4/8,2014/6/26,管線單位需求-配合拆遷,台電南區,3,興隆路1段55巷與興隆路1段55巷27弄、興隆路1段83巷口,79,5,2,2
